    90.39	    59.55	IO20
    90.39	   104.44	IO0
    90.39	   162.59	GP47
    90.39	   210.28	I2S_LRCK
    90.39	   614.09	2
    90.39	   628.51	2
    90.39	   642.94	2
    90.39	   721.33	AGND
    88.30	    68.39	6012341785
    88.30	   614.09	p
    88.30	   628.51	p
    88.30	   642.94	p
    86.91	    64.90	349111112444
    86.91	   162.59	GP48
    86.91	   210.28	I2S_DSDIN
    86.91	   614.09	F
    86.91	   628.51	F
    86.91	   642.94	F
    86.91	   722.49	22pF
    85.28	   114.21	41
    85.28	   126.77	GND
    85.28	   705.28	OUTN
    85.28	   732.49	C1190.1uFR76
    85.28	   764.82	150KPA_INL-
    83.66	    64.90	IOIOIOIOIOIOIOIOIOIOIOIOEP
    83.66	   162.59	GP45
    83.66	   261.22	RTC_INT_ESP
    83.66	   449.64	R29
    82.03	   458.71	K
    82.03	   476.62	A
    82.03	   487.55	ESP_LED1
    82.03	   725.75	C121
    80.17	   162.59	GP0
    80.17	   364.97	ESP_BOOT
    80.17	   420.56	GND
    76.92	    63.27	567890123456
    76.92	   162.59	GP35
    76.92	   370.08	NC
